# time	x	v

0.0	0.0	0.0
0.1	0.003768820555889425	0.07556532308338343
0.2	0.015151131848707007	0.15227266977730605
0.3	0.03426199705591841	0.23013929955838774
0.4	0.06121821831222534	0.3091827327468338
0.5	0.0961383629905386	0.38942075444858076
0.6	0.13914279038013727	0.4708714185570205
0.7	0.19035367876801645	0.5535530518152024
0.8	0.24989505292951741	0.6374842579394275
0.9	0.3178928120344252	0.7226839218051637
1.0	0.394474757974813	0.8091712136962219
1.1	0.47977062412100707	0.8969655936181511
1.2	0.5739121045121424	0.9860868156768214
1.3	0.6770328834878768	1.0765549325231816
1.4	0.7892686657679319	1.1683902998651898
1.5	0.9107572069862271	1.261613581047934
1.6	1.0416383446864785	1.3562457517029718
1.7	1.1820540297862363	1.4523081044679356
1.8	1.33214835851644	1.5498222537774662
1.9	1.4920676048436783	1.6488101407265519
2.0	1.6619602533824487	1.7492940380073674
2.1	1.8419770328048222	1.8512965549207234
2.2	2.0322709497550306	1.9548406424632547
2.3	2.2329973232766065	2.059949598491491
2.4	2.4443138197598233	2.1666470729639737
2.5	2.666380488417299	2.274957073262595
2.6	2.8993597972957432	2.3849039695943617
2.7	3.1434166698319546	2.4965125004747932
2.8	3.398718521961288	2.609807778294193
2.9	3.6654352997869477	2.724815294968042
3.0	3.943739517818577	2.8415609276727865
3.1	4.23380629778875	2.9600709446683124
3.2	4.535813408056102	3.080372011208415
3.3	4.849941303603958	3.2024911955405937
3.4	5.176373166643469	3.32645597499652
3.5	5.515294947830376	3.452294242174556
3.6	5.866895408104698	3.5800343112157043
3.7	6.231366161162738	3.7097049241744102
3.8	6.608901716570971	3.841335257485645
3.9	6.99969952353152	3.9749549285297276
4.0	7.403960015309058	4.1105940022963585
4.1	7.821886654329137	4.248282998149371
4.2	8.253685977958096	4.388052896693715
4.3	8.699567644974834	4.529935146746226
4.4	9.159744482744927	4.67396167241174
4.5	9.634432535107674	4.8201648802661525
4.6	10.123851110986884	4.968577666648034
4.7	10.628222833736295	5.119233425060446
4.8	11.147773691230782	5.272166053684619
4.9	11.68273308671457	5.427409963007187
5.0	12.233333890417942	5.585000083562693
5.1	12.799812491954016	5.744971873793104
5.2	13.382408853507409	5.907361328026113
5.3	13.981366563826736	6.072204984574012
5.4	14.596932893033113	6.239539933954968
5.5	15.229358848256975	6.409403827238547
5.6	15.878899230115739	6.581834884517361
5.7	16.54581269004501	6.756871903506752
5.8	17.230361788496264	6.93455426827444
5.9	17.932813054014037	7.114921958102107
6.0	18.653437043205987	7.298015556480899
6.1	19.39250840161926	7.48387626024289
6.2	20.150305925536905	7.672545888830537
6.3	20.927112624708215	7.864066893706233
6.4	21.723215786027104	8.058482367904066
6.5	22.538907038172887	8.255836055725933
6.6	23.374482417227945	8.45617236258419
6.7	24.230242433287103	8.659536364993064
6.8	25.10649213807367	8.86597382071105
6.9	26.00354119357736	9.075531179036602
7.0	26.921703941729543	9.28825559125943
7.1	27.861299475131514	9.504194921269725
7.2	28.82265170885167	9.72339775632775
7.3	29.80608945330776	9.945913417996163
7.4	30.811946488250634	10.171791973237594
7.5	31.840561637866077	10.401084245679911
7.6	32.89227884701169	10.633841827051754
7.7	33.96744725860593	10.87011708879089
7.8	35.06642129218674	11.109963193828012
7.9	36.18956072365744	11.353434108548617
8.0	37.337230766237845	11.600584614935677
8.1	38.50980215263872	11.851470322895809
8.2	39.707651218478276	12.106147682771743
8.3	40.93115998695923	12.364673998043887
8.4	42.18071625482565	12.62710743822385
8.5	43.456713679618844	12.89350705194283
8.6	44.75955186825199	13.163932780237802
8.7	46.08963646692336	13.438445470038507
8.8	47.44737925238844	13.717106887858268
8.9	48.833198224611415	13.999979733691715
9.0	50.24751770081695	14.287127655122546
9.1	51.690768410963344	14.578615261644504
9.2	53.16338759465858	14.87450813919879
9.3	54.6658190995411	15.174872864931167
9.4	56.19851348114738	15.47977702217211
9.5	57.76192810428883	15.789289215643327
9.6	59.35652724596081	16.103479086894126
9.7	60.98278219980692	16.42241732997104
9.8	62.64117138216203	16.74617570732431
9.9	64.332180439698	17.074827065954704
10.0	66.05630235869626	17.408445353804442
10.1	67.8140375759717	17.74710563639576
10.2	69.60589409147316	18.09088411372098
10.3	71.43238758258555	18.439858137387837
10.4	73.2940415201594	18.794106228023914
10.5	75.19138728629403	19.153708092944107
10.6	77.12496429390077	19.518744644085118
10.7	79.09532010807314	19.889298016210972
10.8	81.10301056929127	20.26545158539369
10.9	83.14859991848842	20.647289987773263
11.0	85.23266092400749	21.034899138601126
11.1	87.35577501047642	21.428366251571465
11.2	89.51853238963106	21.82777985844466
11.3	91.72153219311541	22.23322982896731
11.4	93.96538260728867	22.644807391093302
